Spiel #;Liga;m/f;Modus;Gruppe;Rnd.;Datum;Wochentag;Spieltag;Anspielzeit;Heim #;Heim;Gast #;Gast;Halle #;Halle;Hallenort;1. SR;2. SR;1. LR;2. LR
134214;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;13;27.01.2018 19:00;Samstag;27.01.2018;19:00;4027;VBC Malters 1;3857;VBC BÅrglen Fortuna 1;1961;BÅndtmÑttli;Malters;;;;
137585;U23 2L;m;2- und 3fach-Runde;Gruppe B;10;28.01.2018 14:00;Sonntag;28.01.2018;14:00;6588;VBC Malters 2;6589;SG Obwalden;1961;BÅndtmÑttli;Malters;;;;
137501;U23 1L;m;3fach-Runde;Gruppe A;11;28.01.2018 16:00;Sonntag;28.01.2018;16:00;5118;VBC Malters 1;5986;Audacia Hochdorf;1961;BÅndtmÑttli;Malters;;;;
133403;2L;f;Hin-/RÅckrunde;Gruppe A;14;30.01.2018 20:30;Dienstag;30.01.2018;20:30;4124;FC Luzern 1;1888;VBC Malters 1;381;Alpenquai (gross);Luzern;;;;
133692;4L;f;Hin-/RÅckrunde;Gruppe C;14;31.01.2018 20:30;Mittwoch;31.01.2018;20:30;6001;FC Luzern 2;2958;VBC Malters 2;381;Alpenquai (gross);Luzern;;;;
137586;U23 2L;m;2- und 3fach-Runde;Gruppe B;11;01.02.2018 19:30;Donnerstag;01.02.2018;19:30;6588;VBC Malters 2;5985;Volley Luzern;1156;Muoshof 1;Malters;;;;
133973;2L;m;Hin-/RÅckrunde;Gruppe A;14;01.02.2018 20:30;Donnerstag;01.02.2018;20:30;5716;FC Luzern;2956;VBC Malters 2;1232;Doppelturnhalle SÑli;Luzern;;;;
134456;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;14;04.02.2018 16:00;Sonntag;04.02.2018;16:00;3688;Volley KTV Muotathal 2;4722;VBC Malters 3;1269;Mehrzweckhalle Stumpenmatt;Muotathal;;;;
134487;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;14;17.02.2018 16:00;Samstag;17.02.2018;16:00;6007;Volley-Team Wolhusen;4028;VBC Malters 2;1482;Berghof;Wolhusen;;;;
134457;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;15;19.02.2018 20:00;Montag;19.02.2018;20:00;6529;VTV Kriens 2;4722;VBC Malters 3;1509;Turnhalle Amlehn;Kriens;;;;
134220;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;15;21.02.2018 20:30;Mittwoch;21.02.2018;20:30;3851;Raiffeisen Volleya Obwalden   1;4027;VBC Malters 1;116;Mehrzweckhalle Giswil;Giswil;;;;
137589;U23 2L;m;2- und 3fach-Runde;Gruppe B;12;24.02.2018 14:00;Samstag;24.02.2018;14:00;6588;VBC Malters 2;5991;Volley HÅnenberg;1961;BÅndtmÑttli;Malters;;;;
133405;2L;f;Hin-/RÅckrunde;Gruppe A;15;24.02.2018 15:30;Samstag;24.02.2018;15:30;3796;Raiffeisen Volleya Obwalden  2;1888;VBC Malters 1;1594;Vereinshalle Sarnen;Sarnen;;;;
133975;2L;m;Hin-/RÅckrunde;Gruppe A;15;24.02.2018 16:00;Samstag;24.02.2018;16:00;3797;Volley Emmen-Nord 2;2956;VBC Malters 2;531;Gerbematt;Rothenburg;;;;
134125;4L;m;Hin-/RÅckrunde;Gruppe A;15;24.02.2018 16:00;Samstag;24.02.2018;16:00;4983;Littau VBC;2957;VBC Malters 3;1585;Turnhalle Matt;Luzern-Littau;;;;
133693;4L;f;Hin-/RÅckrunde;Gruppe C;15;24.02.2018 17:00;Samstag;24.02.2018;17:00;1136;SV Sempach;2958;VBC Malters 2;139;Rank;Sempach;;;;
134488;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe B;15;24.02.2018 17:00;Samstag;24.02.2018;17:00;558;Svkt Buttisholz 3;4028;VBC Malters 2;1535;Doppelturnhalle;Buttisholz;;;;
133826;5L;f;Hin-/RÅckrunde;Gruppe B;15;24.02.2018 19:00;Samstag;24.02.2018;19:00;557;Svkt Buttisholz 1;6002;VBC Malters 3;1535;Doppelturnhalle;Buttisholz;;;;
137507;U23 1L;m;3fach-Runde;Gruppe A;13;26.02.2018 20:30;Montag;26.02.2018;20:30;5118;VBC Malters 1;5990;VBC Sursee ;1961;BÅndtmÑttli;Malters;;;;
133696;4L;f;Hin-/RÅckrunde;Gruppe C;16;01.03.2018 20:30;Donnerstag;01.03.2018;20:30;2958;VBC Malters 2;3838;SV Knutwil-St.Erhard 1;1961;BÅndtmÑttli;Malters;;;;
134127;4L;m;Hin-/RÅckrunde;Gruppe A;16;02.03.2018 20:45;Freitag;02.03.2018;20:45;2957;VBC Malters 3;1728;VBC Ebikon 2;1156;Muoshof 1;Malters;;;;
134459;U23 4.Liga;f;Hin-/RÅckrunde;Gruppe A;16;03.03.2018 12:00;Samstag;03.03.2018;12:00;4722;VBC Malters 3;1731;VBC Ebikon 2;1961;BÅndtmÑttli;Malters;;;;
134223;U23 1.Liga;f;Hin-/RÅckrunde;Gruppe A;16;03.03.2018 13:00;Samstag;03.03.2018;13:00;4027;VBC Malters 1;1533;VBC Steinhausen 1;1961;BÅndtmÑttli;Malters;;;;
133828;5L;f;Hin-/RÅckrunde;Gruppe B;16;03.03.2018 15:00;Samstag;03.03.2018;15:00;6002;VBC Malters 3;1766;VBR Stans TIV 2;1961;BÅndtmÑttli;Malters;;;;
133980;2L;m;Hin-/RÅckrunde;Gruppe A;16;03.03.2018 16:00;Samstag;03.03.2018;16:00;2956;VBC Malters 2;2797;VBC Ebikon 1;1961;BÅndtmÑttli;Malters;;;;
133410;2L;f;Hin-/RÅckrunde;Gruppe A;16;03.03.2018 17:00;Samstag;03.03.2018;17:00;1888;VBC Malters 1;1528;VBC Steinhausen 2;1961;BÅndtmÑttli;Malters;;;;
133699;4L;f;Hin-/RÅckrunde;Gruppe C;17;09.03.2018 20:00;Freitag;09.03.2018;20:00;3923;VBC Sursee  3;2958;VBC Malters 2;136;Kantonsschule;Sursee;;;;
137509;U23 1L;m;3fach-Runde;Gruppe A;14;09.03.2018 20:30;Freitag;09.03.2018;20:30;5020;Volley Smash 05 Laufenb.-K.;5118;VBC Malters 1;1746;Sporthalle Blauen 2;Laufenburg;;;;
133985;2L;m;Hin-/RÅckrunde;Gruppe A;17;10.03.2018 15:00;Samstag;10.03.2018;15:00;18;VBC Sursee  1;2956;VBC Malters 2;1495;Kottenmatte;Sursee;;;;
